Chamber,1,Data,File,,
C:\Users\UT,South,Western,MC\Documents\MED,Associates\MEDCMG\mouse,1
IR=,6,SD=,14.5,MP=,67.37
9/14/23,8:48:26,AM,,,
Time,Motion,Scale,Vol,Vol,Pressure
84.75,0,0.004,6.2,6.2,18.5
85,0,0.004,6.2,6.2,18
85.25,0,0.004,6.3,6.3,17.6
85.5,0,0.004,6.3,6.3,17.4
85.75,0,0.004,6.3,6.3,17.1
86,0,0.004,6.3,6.3,17.1
86.25,0,0.004,6.4,6.4,16.8
86.5,0,0.003,6.4,6.4,16.8
86.75,0,0.003,6.4,6.4,16.6
87,0,0.003,6.4,6.4,16.4
87.25,0,0.003,6.5,6.5,16.4
87.5,0,0.003,6.5,6.5,16.3
87.75,0,0.003,6.5,6.5,16.1
88,0,0.003,6.5,6.5,16.1
88.25,0,0.003,6.6,6.6,16.1
88.5,0,0.003,6.6,6.6,16.1
88.75,0,0.003,6.6,6.6,16.1
89,0,0.003,6.6,6.6,16.1
89.25,0,0.003,6.7,6.7,16.1
89.5,0,0.003,6.7,6.7,16.1
89.75,0,0.003,6.7,6.7,16.1
90,0,0.003,6.7,6.7,16.3
90.25,0,0.003,6.8,6.8,16.1
90.5,0,0.003,6.8,6.8,16.1
90.75,0,0.003,6.8,6.8,16.1
91,0,0.003,6.8,6.8,16.1
91.25,0,0.003,6.9,6.9,16.1
91.5,0,0.003,6.9,6.9,16.1
91.75,0,0.003,6.9,6.9,16.2
92,0,0.003,6.9,6.9,16.6
92.25,0,0.003,7,7,16.8
92.5,0,0.003,7,7,16.8
92.75,0,0.003,7,7,16.8
93,0,0.003,7,7,16.9
93.25,0,0.003,7.1,7.1,17.1
93.5,0,0.003,7.1,7.1,17.1
93.75,0,0.003,7.1,7.1,17
94,0,0.003,7.1,7.1,16.9
94.25,0,0.003,7.2,7.2,16.9
94.5,0,0.003,7.2,7.2,16.8
94.75,0,0.003,7.2,7.2,16.8
95,0,0.003,7.2,7.2,16.8
95.25,0,0.003,7.3,7.3,16.8
95.5,0,0.003,7.3,7.3,16.8
95.75,0,0.003,7.3,7.3,16.8
